epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1067.07,1.58923,0.83349,0.99907,0.47384,0.000256121,0.000256121,0.000256121
2,2167.37,0.53037,0.93581,1,0.17599,0.000502308,0.000502308,0.000502308
3,3266.74,0.33969,0.95721,1,0.1412,0.000738344,0.000738344,0.000738344
4,4343.89,0.24869,0.97395,1,0.07056,0.000723321,0.000723321,0.000723321
5,5392.87,0.19416,0.9786,1,0.05991,0.000708095,0.000708095,0.000708095
6,6417.72,0.16841,0.97116,1,0.08585,0.000692869,0.000692869,0.000692869
7,7455.05,0.15026,0.97488,1,0.06458,0.000677643,0.000677643,0.000677643
8,8587.72,0.13202,0.9786,1,0.05411,0.000662417,0.000662417,0.000662417
9,9614.89,0.1141,0.97953,1,0.04897,0.00064719,0.00064719,0.00064719
10,10643.4,0.1191,0.98605,1,0.04425,0.000631964,0.000631964,0.000631964
11,11695.5,0.10355,0.98605,1,0.04208,0.000616738,0.000616738,0.000616738
12,12822.3,0.09251,0.98605,1,0.04245,0.000601512,0.000601512,0.000601512
13,13977.9,0.08798,0.98884,1,0.03663,0.000586286,0.000586286,0.000586286
14,15453.3,0.07922,0.98698,1,0.0452,0.000571059,0.000571059,0.000571059
15,16474.5,0.07778,0.9907,1,0.03157,0.000555833,0.000555833,0.000555833
16,17493.3,0.07673,0.98884,1,0.04108,0.000540607,0.000540607,0.000540607
17,18520.2,0.07931,0.99163,1,0.02456,0.000525381,0.000525381,0.000525381
18,19541.9,0.0663,0.99163,1,0.02142,0.000510155,0.000510155,0.000510155
19,20563.4,0.05625,0.98884,1,0.03893,0.000494928,0.000494928,0.000494928
20,21585.8,0.06703,0.99349,1,0.02012,0.000479702,0.000479702,0.000479702
21,22607.3,0.06011,0.98977,1,0.02986,0.000464476,0.000464476,0.000464476
22,23628.7,0.064,0.99163,1,0.03405,0.00044925,0.00044925,0.00044925
23,24658.7,0.05822,0.99442,1,0.02434,0.000434024,0.000434024,0.000434024
24,25683,0.05524,0.99256,1,0.02594,0.000418797,0.000418797,0.000418797
25,26705.7,0.05588,0.99349,1,0.02561,0.000403571,0.000403571,0.000403571
26,27729.3,0.05873,0.98977,1,0.03647,0.000388345,0.000388345,0.000388345
27,28750.5,0.05122,0.99535,1,0.01458,0.000373119,0.000373119,0.000373119
28,29772.1,0.04748,0.99442,1,0.01757,0.000357893,0.000357893,0.000357893
29,30795.9,0.04214,0.99442,1,0.02132,0.000342666,0.000342666,0.000342666
30,31822.8,0.04467,0.99349,1,0.01786,0.00032744,0.00032744,0.00032744
31,32845.8,0.04582,0.99535,1,0.01852,0.000312214,0.000312214,0.000312214
32,33867.8,0.04166,0.99163,1,0.0231,0.000296988,0.000296988,0.000296988
33,34889,0.03947,0.99256,1,0.0208,0.000281762,0.000281762,0.000281762
34,35908.6,0.04042,0.99256,1,0.02056,0.000266535,0.000266535,0.000266535
35,36932.3,0.04222,0.99163,1,0.02059,0.000251309,0.000251309,0.000251309
36,37953.6,0.03727,0.99442,1,0.01817,0.000236083,0.000236083,0.000236083
37,38977.7,0.03216,0.99721,1,0.01335,0.000220857,0.000220857,0.000220857
38,40000.2,0.03757,0.99721,1,0.0132,0.000205631,0.000205631,0.000205631
39,41023.8,0.0305,0.99535,1,0.01597,0.000190404,0.000190404,0.000190404
40,42044.3,0.03165,0.99628,1,0.0141,0.000175178,0.000175178,0.000175178
41,43072.6,0.02813,0.99721,1,0.01419,0.000159952,0.000159952,0.000159952
42,44094.4,0.0291,0.99442,1,0.01742,0.000144726,0.000144726,0.000144726
43,45112.5,0.02712,0.99628,1,0.01362,0.0001295,0.0001295,0.0001295
44,46131.4,0.03344,0.99721,1,0.01086,0.000114273,0.000114273,0.000114273
45,47159.9,0.02517,0.99535,1,0.01235,9.90472e-05,9.90472e-05,9.90472e-05
46,48181.1,0.02725,0.99535,1,0.01652,8.3821e-05,8.3821e-05,8.3821e-05
47,49200,0.02505,0.99721,1,0.01297,6.85948e-05,6.85948e-05,6.85948e-05
48,50220.1,0.02375,0.99721,1,0.01287,5.33686e-05,5.33686e-05,5.33686e-05
49,51243.5,0.02318,0.99628,1,0.01344,3.81424e-05,3.81424e-05,3.81424e-05
50,52267.8,0.02042,0.99628,1,0.01351,2.29162e-05,2.29162e-05,2.29162e-05
